"ID","AgeRange","Job","ZipCode","Male"
69,25,"academic","02143",0
70,18,"college/grad student","53703",1
71,25,"sales/marketing","95008",1
72,45,"other or not specified","55122",0
73,18,"college/grad student","53706",1
74,35,"sales/marketing","94530",1
75,1,"K-12 student","01748",0
76,35,"executive/managerial","55413",1
77,18,"college/grad student","15321",1
78,45,"academic","98029",0
79,45,"other or not specified","98103",0
80,56,"academic","49327",1
81,25,"other or not specified","60640",0
82,25,"technician/engineer","48380",1
83,25,"artist","94609",0
84,18,"college/grad student","53140",1
85,18,"college/grad student","94945",1
86,1,"K-12 student","54467",0
87,25,"sales/marketing","48360",1
88,45,"academic","02476",0
89,56,"homemaker","85749",0
90,56,"retired","85749",1
91,35,"executive/managerial","07650",1
92,18,"college/grad student","44243",0
93,25,"technician/engineer","95825",1
94,25,"technician/engineer","28601",1
95,45,"other or not specified","98201",1
96,25,"self-employed","78028",0
97,35,"clerical/admin","66210",0
98,35,"executive/managerial","33547",0
99,1,"K-12 student","19390",0
100,35,"technician/engineer","95401",1
101,18,"clerical/admin","33314",0
102,35,"unemployed","20871",1
103,45,"executive/managerial","92104",1
104,25,"programmer","00926",1
105,45,"programmer","90277",1
106,35,"lawyer","79101",0
107,45,"tradesman/craftsman","63129",1
108,25,"programmer","30316",1
109,45,"scientist","92028",1
110,25,"artist","90803",1
111,35,"scientist","55416",1
112,25,"self-employed","97209",1
113,18,"programmer","37032",1
114,25,"artist","83712",0
115,25,"technician/engineer","28083",1
116,25,"technician/engineer","55744",1
117,25,"technician/engineer","33314",1
118,35,"technician/engineer","22315",1
119,1,"K-12 student","77515",0
120,25,"lawyer","27106",1
121,35,"executive/managerial","75229",1
122,18,"college/grad student","94305",0
123,35,"homemaker","67208",1
124,56,"executive/managerial","91356",1
125,45,"sales/marketing","01701",1
126,18,"homemaker","98117",1
127,45,"clerical/admin","01770",0
128,56,"doctor/health care","37922",1
129,25,"lawyer","20164",1
130,35,"technician/engineer","50021",1
131,18,"college/grad student","06520",1
132,25,"technician/engineer","99709",1
133,25,"other or not specified","55071",0
134,25,"other or not specified","66212",1
135,18,"college/grad student","20006",1
136,18,"artist","21202",1
137,45,"doctor/health care","78758",0
138,18,"writer","22203",1
139,25,"writer","45409",0
140,35,"academic","55107",0
141,35,"retired","62035",1
142,25,"executive/managerial","10011",1
143,18,"clerical/admin","64043",1
144,25,"technician/engineer","29401",1
145,18,"college/grad student","19081",1
146,35,"writer","10954",0
147,18,"college/grad student","91360",1
148,50,"technician/engineer","57747",1
149,25,"academic","29205",1
150,35,"executive/managerial","98144",1
151,25,"writer","85013",0
152,18,"college/grad student","48104",1
153,1,"K-12 student","51537",1
154,50,"writer","94530",1
155,35,"programmer","07470",1
156,45,"executive/managerial","14519",0
157,35,"self-employed","12866",1
158,56,"executive/managerial","28754",1
159,45,"other or not specified","37922",0
160,35,"executive/managerial","13021",1
161,45,"self-employed","98107",1
162,18,"college/grad student","93117",0
163,18,"college/grad student","85013",1
164,56,"retired","94566",0
165,18,"self-employed","98502",1
166,18,"college/grad student","92802",1
167,25,"lawyer","10022",0
168,50,"other or not specified","46970",0
169,25,"executive/managerial","55439",1
170,25,"lawyer","07002",1
171,50,"technician/engineer","55441",0
172,25,"clerical/admin","07661",1
173,25,"other or not specified","45237",1
174,25,"self-employed","21203",1
175,25,"artist","95123",0
176,18,"clerical/admin","55016",0
177,50,"academic","54016",1
178,56,"technician/engineer","53705",1
179,25,"other or not specified","02135",1
180,45,"programmer","01603",1
181,18,"technician/engineer","33186",1
182,18,"college/grad student","03052",1
183,45,"academic","55407",0
184,25,"other or not specified","19001",0
185,45,"other or not specified","14468",1
186,18,"customer service","91767",1
187,45,"academic","94061",0
188,56,"self-employed","79930",1
189,18,"other or not specified","60076",1
190,25,"technician/engineer","55125",1
191,18,"college/grad student","04915",1
192,18,"academic","10977",1
193,45,"scientist","44106",0
194,1,"K-12 student","29146",0
195,25,"programmer","10458",1
196,35,"homemaker","94587",0
197,18,"sales/marketing","10023",1
198,25,"programmer","55108",1
199,18,"college/grad student","83706",1
200,18,"college/grad student","84321",0
201,35,"artist","55117",0
202,18,"college/grad student","53706",1
203,18,"college/grad student","53715",0
204,25,"executive/managerial","92123",1
205,35,"programmer","97333",1
206,25,"technician/engineer","20194",1
207,25,"programmer","94115",1
208,35,"technician/engineer","55432",1
209,35,"academic","90048",1
210,1,"K-12 student","25801",0
211,45,"technician/engineer","90620",1
212,25,"self-employed","53714",1
213,18,"college/grad student","01609",0
214,18,"writer","80218",1
215,35,"sales/marketing","92075",1
216,45,"retired","52761",1
217,18,"college/grad student","22903",1
218,35,"sales/marketing","95822",1
219,25,"college/grad student","55113",0
220,25,"programmer","22903",1
221,25,"other or not specified","94063",0
222,25,"academic","55116",1
223,25,"technician/engineer","28262",1
224,18,"college/grad student","14850",0
225,25,"executive/managerial","11215",1
226,35,"academic","94518",1
227,35,"writer","90291",1
228,25,"scientist","55455",1
229,18,"K-12 student","04576",1
230,45,"academic","43210",1
231,25,"clerical/admin","55455",1
232,25,"writer","55408",1
233,45,"writer","37919",0
234,35,"executive/managerial","39652",1
235,25,"other or not specified","98153",1
236,25,"customer service","55126",1
237,25,"doctor/health care","46835",1
238,50,"executive/managerial","90291",0
239,18,"unemployed","94618",1
240,50,"technician/engineer","55113",1
241,35,"writer","55121",1
242,18,"college/grad student","53706",0
243,25,"self-employed","11576",1
244,50,"executive/managerial","19072",1
245,35,"self-employed","66046",1
246,18,"college/grad student","60625",0
247,25,"technician/engineer","94404",1
248,18,"technician/engineer","72703",1
249,18,"sales/marketing","48126",0
250,35,"self-employed","11229",1
251,56,"technician/engineer","55105",1
252,25,"programmer","94112",1
253,25,"lawyer","97370",0
254,35,"technician/engineer","49015",1
255,35,"other or not specified","85310",1
256,45,"self-employed","55076",1
257,18,"tradesman/craftsman","55113",1
258,25,"executive/managerial","55436",1
259,25,"academic","60615",1
260,18,"unemployed","98126",1
261,25,"writer","75801",1
262,25,"academic","68503",0
263,25,"executive/managerial","22304",0
264,35,"other or not specified","20755",1
265,35,"executive/managerial","55116",0
266,35,"lawyer","75229",1
267,45,"programmer","55001",1
268,18,"programmer","29708",0
269,25,"artist","55408",1
270,50,"sales/marketing","55414",1
271,18,"college/grad student","48202",1
272,18,"other or not specified","80302",1
273,18,"college/grad student","55427",1
274,18,"college/grad student","55455",1
275,25,"other or not specified","48162",1
276,45,"self-employed","01982",1
277,35,"academic","98126",0
278,45,"tradesman/craftsman","60482",1
279,25,"sales/marketing","91214",1
280,50,"executive/managerial","19118",1
281,35,"other or not specified","94117",0
282,25,"technician/engineer","94401",1
283,25,"other or not specified","10003",1
284,25,"programmer","91910",1
285,35,"other or not specified","94109",0
286,25,"academic","54601",1
287,50,"retired","94706",1
288,25,"programmer","97119",0
289,25,"other or not specified","11801",0
290,25,"writer","94591",0
291,35,"programmer","55110",1
292,35,"executive/managerial","19406",1
293,56,"academic","55337",1
294,45,"homemaker","43147",0
295,18,"other or not specified","80203",1
296,50,"customer service","89432",1
297,18,"artist","97211",1
298,18,"college/grad student","19010",0
299,25,"programmer","97370",1
300,25,"executive/managerial","78664",1
301,18,"college/grad student","61820",1
302,18,"college/grad student","04901",1
303,25,"executive/managerial","20006",1
304,25,"other or not specified","55414",1
305,18,"other or not specified","55414",0
306,18,"other or not specified","53051",1
307,50,"self-employed","90027",1
308,25,"artist","10025",1
309,25,"college/grad student","16801",1
310,18,"college/grad student","31207",0
311,18,"college/grad student","31201",1
312,50,"artist","22207",0
313,18,"college/grad student","02138",0
314,56,"homemaker","46911",0
315,56,"academic","55105",0
316,56,"retired","90740",1
317,35,"executive/managerial","38555",1
318,56,"retired","55104",0
319,50,"doctor/health care","33436",0
320,35,"doctor/health care","99516",1
321,18,"college/grad student","55128",1
322,56,"technician/engineer","55117",1
323,45,"programmer","53716",1
324,35,"technician/engineer","55106",1
325,50,"clerical/admin","55112",0
326,50,"lawyer","25302",1
327,35,"tradesman/craftsman","55448",1
328,35,"programmer","80401",1
329,35,"executive/managerial","02115",1
330,56,"executive/managerial","92065",1
331,25,"executive/managerial","55902",1
332,50,"academic","55109",1
333,35,"artist","55410",1
334,56,"artist","55113",0
335,35,"tradesman/craftsman","55434",1
336,18,"other or not specified","98765",1
337,18,"unemployed","80205",1
338,35,"executive/managerial","55116",1
339,50,"executive/managerial","80207",1
340,25,"clerical/admin","28001",0
341,56,"retired","92119",0
342,18,"programmer","55076",1
343,35,"clerical/admin","55127",0
344,35,"sales/marketing","75034",1
345,25,"programmer","94114",1
346,25,"other or not specified","55110",0
347,56,"academic","55305",0
348,50,"executive/managerial","55110",1
349,1,"K-12 student","08035",1
350,45,"writer","08035",1
351,18,"college/grad student","55105",1
352,18,"college/grad student","60115",1
353,35,"executive/managerial","92625",0
354,35,"academic","55117",1
355,18,"clerical/admin","55107",1
356,56,"writer","55101",1
357,18,"other or not specified","98103",1
358,56,"academic","20815",0
359,25,"technician/engineer","55128",1
360,35,"technician/engineer","28208",1
361,25,"sales/marketing","94115",0
362,35,"writer","55407",1
363,18,"K-12 student","55419",1
364,35,"academic","46815",0
365,18,"college/grad student","02138",0
366,50,"scientist","55126",1
367,50,"programmer","55421",1
368,25,"other or not specified","90293",1
369,35,"academic","55110",1
370,18,"technician/engineer","22304",1
371,18,"college/grad student","02141",1
372,18,"college/grad student","72227",0
373,25,"artist","55347",0
374,35,"sales/marketing","55346",0
375,25,"artist","55106",1
376,35,"academic","80026",1
377,25,"technician/engineer","55418",1
378,18,"other or not specified","55105",0
379,35,"academic","54822",0
380,25,"artist","92024",1
381,35,"technician/engineer","89015",1
382,35,"writer","66205",0
383,25,"executive/managerial","78757",0
384,25,"lawyer","55075",1
385,25,"doctor/health care","68131",1
386,25,"other or not specified","55408",1
387,35,"executive/managerial","55111",0
388,25,"other or not specified","10021",0
389,25,"doctor/health care","68128",1
390,25,"college/grad student","55405",1
391,45,"lawyer","22122",1
392,18,"executive/managerial","20037",1
393,35,"technician/engineer","55402",1
394,18,"other or not specified","55013",1
395,18,"customer service","55104",1
396,25,"academic","56187",1
397,35,"technician/engineer","22124",1
398,25,"technician/engineer","55454",1
399,35,"doctor/health care","55128",0
400,18,"clerical/admin","55422",0
401,18,"other or not specified","55129",1
402,25,"lawyer","55427",1
403,18,"college/grad student","02138",1
404,18,"college/grad student","10128",1
405,56,"academic","13077",1
406,25,"writer","55105",1
407,18,"technician/engineer","89503",1
408,25,"lawyer","02143",1
409,18,"programmer","55122",1
410,25,"academic","55417",0
411,45,"academic","43214",0
412,35,"scientist","55117",1
413,25,"lawyer","55409",1
414,25,"other or not specified","55317",1
415,35,"other or not specified","55406",0
416,45,"sales/marketing","55076",1
417,25,"other or not specified","50613",0
418,25,"clerical/admin","54016",0
419,18,"clerical/admin","55422",1
420,35,"academic","55406",1
421,45,"clerical/admin","55125",0
422,56,"technician/engineer","55104",1
423,18,"college/grad student","55455",1
424,25,"technician/engineer","55112",1
425,25,"programmer","55303",1
426,18,"college/grad student","55455",1
427,35,"programmer","55104",1
428,18,"college/grad student","55455",0
429,18,"other or not specified","54901",1
430,18,"K-12 student","55306",0
431,18,"K-12 student","55303",1
432,45,"self-employed","55306",1
433,50,"doctor/health care","55115",1
434,45,"clerical/admin","98155",0
435,25,"executive/managerial","55125",1
436,18,"college/grad student","43023",1
437,35,"technician/engineer","55030",1
438,18,"lawyer","53705",1
439,35,"sales/marketing","55129",1
440,56,"academic","32940",1
441,35,"academic","55127",1
442,25,"academic","55105",1
443,25,"clerical/admin","55421",1
444,56,"other or not specified","55108",1
445,45,"programmer","55117",1
446,50,"other or not specified","55042",0
447,45,"lawyer","55105",0
448,25,"technician/engineer","80123",1
449,25,"executive/managerial","85037",1
450,45,"academic","24523",1
451,56,"retired","54720",1
452,50,"technician/engineer","55117",1
453,18,"college/grad student","55102",1
454,25,"writer","55092",1
455,35,"artist","55113",0
456,35,"other or not specified","55105",1
457,18,"college/grad student","54703",1
458,50,"self-employed","55405",1
459,18,"college/grad student","55105",0
460,45,"tradesman/craftsman","55313",1
461,50,"executive/managerial","55075",1
462,18,"self-employed","55416",1
463,25,"executive/managerial","55105",1
464,18,"college/grad student","55455",0
465,18,"unemployed","94523",1
466,25,"customer service","55405",1
467,35,"clerical/admin","55075",0
468,1,"K-12 student","55082",0
469,35,"doctor/health care","55122",1
470,1,"K-12 student","55068",0
471,35,"executive/managerial","08904",1
472,35,"other or not specified","55418",1
473,18,"college/grad student","55112",0
474,25,"technician/engineer","92126",1
475,25,"artist","55421",0
476,35,"other or not specified","55127",1
477,35,"sales/marketing","55410",1
478,50,"self-employed","55113",1
479,25,"programmer","55042",1
480,18,"college/grad student","55422",0
481,45,"executive/managerial","55115",1
482,25,"sales/marketing","55305",1
483,18,"programmer","55105",1
484,1,"K-12 student","55104",0
485,56,"executive/managerial","55042",1
486,56,"other or not specified","91367",1
487,35,"technician/engineer","55082",0
488,25,"programmer","55107",1
489,18,"college/grad student","55455",1
490,1,"K-12 student","55345",1
491,18,"college/grad student","56043",1
492,25,"programmer","55112",1
493,50,"executive/managerial","55016",1
494,35,"other or not specified","17870",0
495,18,"K-12 student","55421",1
496,18,"college/grad student","55455",1
497,25,"technician/engineer","55412",0
498,35,"technician/engineer","55113",1
499,25,"academic","55108",0
500,18,"artist","55105",0
501,25,"artist","55372",1
502,35,"doctor/health care","55126",1
503,35,"lawyer","73120",1
504,25,"artist","17003",1
505,35,"technician/engineer","37815",1
506,25,"self-employed","55103",1
507,25,"other or not specified","55405",0
508,25,"programmer","55418",1
509,25,"artist","55125",1
510,18,"programmer","55109",1
511,45,"college/grad student","15232",0
512,35,"other or not specified","55379",1
513,25,"other or not specified","55119",1
514,25,"artist","55113",1
515,25,"academic","55406",1
516,56,"sales/marketing","55033",0
517,25,"sales/marketing","55408",0
518,35,"programmer","75240",0
519,35,"sales/marketing","55038",0
520,35,"writer","55104",0
521,56,"executive/managerial","55105",1
522,25,"programmer","55124",1
523,50,"executive/managerial","55105",1
524,18,"other or not specified","91320",1
525,35,"doctor/health care","19027",1
526,45,"technician/engineer","94806",1
527,25,"artist","11201",0
528,18,"technician/engineer","83843",0
529,35,"programmer","92009",1
530,25,"artist","10019",1
531,18,"sales/marketing","22206",0
532,25,"executive/managerial","94301",1
533,25,"programmer","27514",1
534,25,"scientist","55902",1
535,35,"doctor/health care","95370",1
536,25,"writer","01267",1
537,45,"sales/marketing","07704",1
538,56,"self-employed","95407",1
539,25,"artist","55103",1
540,18,"academic","15213",1
541,18,"college/grad student","58495",0
542,18,"college/grad student","78705",1
543,25,"customer service","55057",1
544,35,"programmer","94538",1
545,35,"technician/engineer","01890",1
546,25,"other or not specified","37211",0
547,35,"programmer","76109",1
548,35,"self-employed","96860",0
549,25,"doctor/health care","53217",1
550,45,"farmer","21559",1
551,35,"writer","55116",1
552,50,"tradesman/craftsman","23456",1
553,25,"artist","94131",1
554,25,"programmer","94086",1
555,18,"college/grad student","53213",1
556,25,"homemaker","37221",0
557,56,"academic","30030",1
558,35,"writer","55108",1
559,25,"executive/managerial","60422",0
560,45,"scientist","81335",1
561,18,"sales/marketing","64060",0
562,35,"writer","48083",1
563,25,"college/grad student","53703",1
564,45,"academic","49419",1
565,25,"self-employed","45242",1
566,25,"technician/engineer","92122",1
567,35,"writer","52570",1
568,50,"technician/engineer","19716",0
569,18,"college/grad student","97339",0
570,25,"college/grad student","33314",1
571,50,"customer service","95401",1
572,18,"college/grad student","61801",1
573,35,"artist","98119",0
574,25,"unemployed","90214",1
575,25,"programmer","92130",1
576,45,"scientist","20910",0
577,35,"other or not specified","02115",1
578,18,"technician/engineer","90064",1
579,25,"customer service","32839",1
580,1,"K-12 student","08534",1
581,50,"sales/marketing","73543",1
582,18,"college/grad student","67042",1
583,25,"other or not specified","48067",0
584,25,"other or not specified","94403",0
585,18,"academic","53703",1
586,35,"sales/marketing","53092",1
587,25,"writer","92649",1
588,25,"lawyer","23220",0
589,18,"artist","90210",1
590,35,"doctor/health care","98032",0
591,25,"other or not specified","76201",1
592,18,"other or not specified","92103",1
593,50,"academic","91711",0
594,56,"retired","60076",0
595,25,"executive/managerial","10019",1
596,25,"academic","01950",0
597,35,"programmer","80206",1
598,35,"executive/managerial","95476",1
599,50,"doctor/health care","53711",1
600,35,"technician/engineer","66209",1
601,18,"writer","06320",0
602,56,"doctor/health care","14612",0
603,25,"doctor/health care","32256",0
604,45,"technician/engineer","32256",1
605,18,"college/grad student","44425",0
606,1,"K-12 student","49507",0
607,25,"other or not specified","43614",1
608,18,"college/grad student","18011",1
609,25,"executive/managerial","10012",1
610,25,"college/grad student","77025",1
611,35,"other or not specified","20715",1
612,50,"executive/managerial","95020",1
613,35,"writer","10562",1
614,35,"academic","90024",1
615,50,"technician/engineer","32951",1
616,25,"executive/managerial","94115",1
617,25,"executive/managerial","92117",0
618,25,"other or not specified","74105",1
619,18,"academic","94706",0
620,18,"other or not specified","13210",1
621,18,"college/grad student","93560",1
622,25,"other or not specified","92612",1
623,25,"technician/engineer","60555",1
624,25,"academic","75207",1
625,35,"programmer","44106",0
626,18,"college/grad student","77005",1
627,50,"artist","97210",1
628,35,"other or not specified","20715",0
629,1,"K-12 student","48154",0
630,35,"sales/marketing","80525",0
631,35,"technician/engineer","28601",1
632,45,"technician/engineer","07649",1
633,25,"technician/engineer","94131",1
634,1,"K-12 student","49512",0
635,56,"technician/engineer","33785",1
636,18,"writer","92055",1
637,35,"programmer","97132",1
638,25,"doctor/health care","77584",1
639,45,"technician/engineer","85202",1
640,18,"college/grad student","47406",1
641,35,"other or not specified","55116",0
642,35,"academic","78155",0
643,25,"artist","23188",1
644,25,"writer","93704",1
645,35,"writer","11215",1
646,35,"executive/managerial","08505",1
647,35,"programmer","85224",1
648,25,"programmer","94131",0
649,25,"college/grad student","80526",1
650,25,"technician/engineer","49445",1
651,35,"executive/managerial","20895",1
652,18,"writer","12222",1
653,56,"retired","92660",1
654,50,"executive/managerial","75023",1
655,25,"artist","92629",0
656,45,"self-employed","92106",0
657,50,"retired","34691",0
658,25,"other or not specified","10021",0
659,25,"other or not specified","28134",0
660,45,"self-employed","70507",1
661,45,"academic","13114",1
662,18,"college/grad student","99163",1
663,25,"executive/managerial","12345",0
664,35,"tradesman/craftsman","74601",1
665,18,"artist","13317",1
666,18,"other or not specified","08540",0
667,25,"tradesman/craftsman","98438",1
668,25,"clerical/admin","22042",0
669,25,"technician/engineer","30307",1
670,25,"programmer","30303",1
671,18,"college/grad student","61761",1
672,35,"executive/managerial","46845",1
673,25,"writer","10023",1
674,25,"technician/engineer","22042",1
675,25,"writer","02048",1
676,18,"self-employed","55129",1
677,50,"artist","94122",1
678,25,"other or not specified","34952",1
679,35,"self-employed","29681",1
680,25,"programmer","37013",1
681,35,"executive/managerial","30501",1
682,25,"college/grad student","27510",1
683,25,"college/grad student","27514",1
684,25,"college/grad student","27510",1
685,25,"college/grad student","27514",1
686,18,"college/grad student","27514",1
687,25,"executive/managerial","14136",0
688,56,"retired","13407",1
689,50,"other or not specified","48103",0
690,25,"programmer","90717",1
691,35,"lawyer","96813",1
692,25,"other or not specified","85207",0
693,35,"programmer","98103",1
694,18,"college/grad student","76401",1
695,18,"academic","04240",0
696,25,"programmer","94114",1
697,50,"doctor/health care","97330",0
698,18,"college/grad student","76401",1
699,18,"other or not specified","73505",1
700,50,"technician/engineer","14650",1
701,18,"college/grad student","01002",0
702,35,"executive/managerial","90808",1
703,56,"academic","44074",0
704,35,"farmer","85712",0
705,25,"college/grad student","48065",1
706,35,"writer","78664",1
707,35,"executive/managerial","17740",1
708,25,"other or not specified","37042",1
709,18,"other or not specified","92647",1
710,25,"writer","85207",1
711,25,"tradesman/craftsman","80521",1
712,25,"other or not specified","95136",1
713,35,"executive/managerial","79912",1
714,18,"college/grad student","76013",1
715,18,"other or not specified","53715",1
716,18,"college/grad student","98188",1
717,25,"lawyer","90211",1
718,18,"artist","90211",1
719,1,"other or not specified","75070",1
720,18,"other or not specified","55129",1
721,35,"homemaker","97520",0
722,25,"programmer","55106",1
723,25,"programmer","98027",1
724,50,"retired","90266",1
725,56,"lawyer","08904",1
726,25,"homemaker","77449",0
727,35,"lawyer","94061",1
728,25,"doctor/health care","11598",1
729,35,"programmer","85284",1
730,25,"other or not specified","10580",1
731,45,"clerical/admin","55410",1
732,25,"executive/managerial","07030",1
733,35,"self-employed","30034",1
734,25,"executive/managerial","90078",1
735,25,"sales/marketing","04240",1
736,18,"programmer","07070",1
737,1,"unemployed","53711",1
738,18,"technician/engineer","99205",1
739,35,"programmer","55803",1
740,25,"sales/marketing","24551",1
741,25,"customer service","44095",1
742,18,"other or not specified","54758",1
743,1,"artist","60660",0
744,25,"technician/engineer","77007",1
745,1,"K-12 student","90004",1
746,18,"unemployed","95019",0
747,18,"college/grad student","98606",1
748,25,"other or not specified","60098",1
749,35,"tradesman/craftsman","56303",1
750,35,"homemaker","13066",0
751,25,"technician/engineer","97201",0
752,25,"clerical/admin","97401",0
753,1,"K-12 student","42754",1
754,35,"executive/managerial","38024",1
755,35,"other or not specified","94002",0
756,35,"other or not specified","90064",1
757,25,"programmer","97401",1
758,35,"executive/managerial","19518",1
759,56,"clerical/admin","89156",0
760,56,"scientist","94114",1
761,18,"executive/managerial","99945",1
762,1,"K-12 student","63041",1
763,18,"K-12 student","02882",1
764,18,"writer","85296",1
765,25,"technician/engineer","74467",1
766,25,"executive/managerial","95128",0
767,25,"programmer","45241",1
768,25,"programmer","17067",1
769,45,"technician/engineer","02421",1
770,18,"college/grad student","98499",1
771,50,"academic","75087",0
772,18,"programmer","89118",1
773,25,"doctor/health care","48108",1
774,18,"college/grad student","22903",1
775,1,"technician/engineer","56258",1
776,25,"clerical/admin","92627",0
777,18,"unemployed","87543",1
778,18,"technician/engineer","32694",1
779,25,"other or not specified","60156",1
780,25,"technician/engineer","91776",1
781,18,"college/grad student","95076",1
782,56,"academic","28223",1
783,25,"college/grad student","53703",1
784,18,"other or not specified","11040",1
785,18,"unemployed","29307",1
786,25,"other or not specified","55987",1
787,18,"college/grad student","77802",1
788,25,"other or not specified","37601",1
789,18,"academic","67212",1
790,25,"technician/engineer","45694",1
791,35,"executive/managerial","27511",1
792,25,"technician/engineer","01002",1
793,35,"sales/marketing","37043",0
794,50,"writer","10543",1
795,35,"sales/marketing","19147",0
796,50,"doctor/health care","98237",1
797,50,"executive/managerial","20175",0
798,25,"writer","48464",0
799,25,"customer service","98498",0
800,35,"programmer","72032",0
801,25,"writer","95776",0
802,25,"self-employed","22801",1
803,18,"college/grad student","67217",1
804,25,"writer","90032",1
805,35,"programmer","37211",1
806,35,"other or not specified","34990",1
807,18,"college/grad student","89015",1
808,25,"executive/managerial","85226",1
809,25,"technician/engineer","70508",1
810,25,"programmer","98006",1
811,50,"other or not specified","94043",1
812,25,"doctor/health care","37930",1
813,18,"college/grad student","70002",1
814,18,"college/grad student","92612",0
815,25,"college/grad student","37130",1
816,45,"other or not specified","92108",1
817,18,"college/grad student","41076",1
818,18,"college/grad student","60107",1
819,35,"executive/managerial","60611",1
820,35,"executive/managerial","78759",1
821,18,"artist","14456",1
822,25,"academic","07666",0
823,25,"other or not specified","92078",1
824,35,"programmer","94530",1
825,56,"academic","39532",1
826,35,"academic","80210",0
827,45,"artist","55409",1
828,18,"college/grad student","70817",1
829,1,"unemployed","53711",1
830,35,"executive/managerial","60657",1
831,45,"other or not specified","20874",0
832,18,"artist","19464",1
833,35,"executive/managerial","46825",1
834,35,"programmer","78640",0
835,56,"other or not specified","94952",1
836,25,"lawyer","10023",1
837,56,"executive/managerial","08540",1
838,50,"technician/engineer","92661",1
839,25,"other or not specified","98103",1
840,25,"clerical/admin","02828",0
841,50,"sales/marketing","92119",0
842,18,"other or not specified","55102",0
843,25,"executive/managerial","49321",1
844,25,"other or not specified","92121",1
845,18,"other or not specified","20009",0
846,25,"customer service","80209",1
847,25,"executive/managerial","80228",0
848,25,"scientist","94121",1
849,25,"clerical/admin","75006",1
850,35,"other or not specified","60640",1
851,18,"college/grad student","75287",1
852,25,"customer service","92105",1
853,25,"technician/engineer","55447",1
854,25,"self-employed","44092",0
855,18,"artist","72701",0
856,45,"doctor/health care","02453",0
857,35,"technician/engineer","11701",1
858,35,"sales/marketing","10013",1
859,25,"programmer","10128",1
860,18,"other or not specified","78237",1
861,25,"executive/managerial","37027",1
862,35,"executive/managerial","10019",1
863,25,"executive/managerial","62522",1
864,25,"other or not specified","97205",0
865,35,"academic","91711",1
866,1,"K-12 student","08820",1
867,45,"programmer","95814",1
868,50,"technician/engineer","01702",1
869,18,"writer","92026",1
870,25,"academic","02144",0
871,1,"K-12 student","76013",1
872,50,"academic","20815",1
873,56,"doctor/health care","19027",1
874,45,"scientist","26105",1
875,1,"K-12 student","94707",1
876,25,"college/grad student","43202",1
877,25,"other or not specified","90631",1
878,18,"artist","01720",1
879,45,"self-employed","92018",1
880,35,"technician/engineer","94114",1
881,18,"sales/marketing","76401",1
882,18,"artist","01720",1
883,35,"sales/marketing","92673",0
884,1,"K-12 student","49454",1
885,35,"other or not specified","48105",1
886,56,"other or not specified","14830",0
887,56,"self-employed","55345",0
888,1,"K-12 student","08820",0
889,45,"writer","10024",1
890,18,"college/grad student","92153",1
891,25,"academic","80202",1
892,35,"other or not specified","76031",1
893,50,"doctor/health care","85016",0
894,18,"college/grad student","31602",1
895,50,"academic","34683",1
896,18,"scientist","94015",1
897,25,"doctor/health care","92130",1
898,25,"executive/managerial","77005",1
899,25,"academic","30605",0
900,56,"retired","90066",0
901,56,"other or not specified","92027",0
902,56,"other or not specified","45432",1
903,56,"retired","75165",1
904,35,"writer","92308",1
